text,keywords
"对 百合 组织培养 的 进展 状况 及 组织培养 在 百合 育种 中 的 应用 作 了 综述 . 着重 介绍 了 百合 组织培养 中 所 选用 的 外植体 类型 和 一些 组培 材料 的 最佳 分化 、 继代 、 生根 培养基 配方 ; 从 远缘 杂交 中 通过 胚 培养 获得 杂交种 , 通过 花药 和 未 授粉 子房 培养 获得 单倍体 植株 , 离体 条件 下 秋水仙素 处理 诱导 产生 多倍体 百合 . 并 论述 了 百合 组织培养 在 其 育种 中 的 应用 .",百合_组织培养_育种
"儿童 作为 非 成人 , 处于 原初 状态 , 如何 由 幼稚 走向 成熟 , 由 孤独 走向 温暖 , 由 个体 走向 类 存在 , 成为 自我 的 主人 . 劳动 作为 儿童 的 自然 本性 , 在 其中 起着 重要 的 中介 作用 . 劳动 对于 儿童 摆脱 自然 状态 走向 自我 的 解放 具有 积极 的 意义 , 有助于 促进 儿童 的 精神 成长 , 培育 儿童 的 自由 意志 , 使 儿童 诗意 地 生活 .",儿童_劳动_自然
"邓小平 1977 年 再度 复出 以后 , 亲自 领导 教育战线 率先 进行 拨乱反正 , 推倒 "" 两个 估计 "" , 恢复 高校 招生 考试制度 , 继承 和 发展 了 毛泽东 教育 思想 , 对 中国 教育 的 改革开放 提出 了 一系列 方针 、 政策 和 措施 , 不仅 大大 推进 了 中国 教育 事业 的 改革开放 , 而且 对 全国 各条战线 的 拨乱反正 和 改革开放 产生 了 积极 的 影响 , 起到 了 推动 的 作用 . 邓小平 在 教育 工作 方面 的 理论 与 实践 , 丰富 和 发展 了 马列主义 、 毛泽东思想 .",邓小平_教育战线_拨乱反正_改革开放
"私营企业 对外贸易 高速 增长 是 现阶段 我国 经济 发展 中 值得 特别 重视 的 现象 . 本文 概要 阐述 我国 私营企业 对外贸易 的 现状 与 特点 , 分析 其 存在 的 主要 问题 和 症结 , 并 提出 初步 的 对策 建议 .",私营企业_对外贸易_特点_问题_对策
首先 阐述 了 花境 的 诞生 与 应用 现状 ， 其次 在 分析 花境 在 城市道路 绿化 中 应用 的 类型 与 特点 的 基础 上 ， 为 如何 实现 花境 绿化 形式 的 有效 应用 提出 了 对策 ， 以 供参考 。,花境_城市道路_绿化_应用
"根据 集约化 猪场 保育 仔猪 存在 的 问题 , 提出 保育 仔猪 的 断乳 、 管理 、 饲养 、 防疫 等 技术 措施 .",仔猪_保育_集约化_猪场
"四川 丘陵地区 乡镇企业 的 可 持续 发展 , 对 吸收 农村 剩余劳动力 , 增加 农民收入 , 带动 地区 经济 发展 , 加快 农村 工业化 、 农村 城市化 的 步伐 , 从而 增强 国力 , 具有 极为重要 的 意义 . 但 就 目前 来看 , 丘陵地区 乡镇企业 还 存在 着 大量 问题 , 严重 地 制约 了 其 发展 速度 和 质量 . 对此 , 本 课题 提出 了 宏观调控 、 市场 引导 、 提高素质 、 速度 与 效益 并重 、 扩大 规模 、 组建 企业 集团 、 优化结构 等 丘陵地区 乡镇企业 可 持续 发展 的 思路 .",乡镇企业_丘陵地区_发展
"以 第二次 全国 污染 基线 调查 资料 为 依据 , 分析 了 长江口 海域 营养盐 分布 特征 及其 成因 . 结果表明 : 本 海域 硝酸盐 分布 沿岸 高 , 外海 低 ; 磷酸盐 由 外海 向 长江口 门 呈 舌形 递增 . 长江口 内 营养盐 含量 明显 偏高 , 这 主要 是 长江口 径流 携带 大量 沿岸 污水 进入 本 海域 所致 . 本 海域 富营养化 程度较高 , 一旦 外界 条件成熟 , 极易 发生 赤潮 .",长江口_营养盐_成因
"锡料 是 先秦 高度发达 的 青铜 业 必不可少 的 原料 之一 , 锡料 来源 及 流通 路径 的 探讨 都 是 先秦 历史 考古 的 重要 内容 . 在 梳理 和 评述 已有 研究 的 基础 上 , 结合 里 耶秦 简中 新 发现 的 史料 , 从 文献 角度 总结 了 先秦 青铜器 锡料 来源 的 几个 可能 产地 , 并 介绍 了 先秦 锡料 来源 研究 的 最新进展 .",先秦_青铜器_锡料_来源_文献
"通过 砂培 实验 探讨 了 尿素 对 绿磺隆 降解 的 影响 . 实验 中 用 直接 气 相色谱 检测 绿磺隆 . 结果表明 : 高绿磺隆 浓度 组 添加 尿素 后 , 绿磺隆 的 降解 曲线 遵从 抛物线 方程 , 半衰期 为 30.5 天 ; 低绿磺隆 浓度 组 添加 尿素 后 , 降解 曲线 先 迅速 下降 , 然后 上升 , 在 20 天 左右 出现 一 顶峰 , 最后 缓慢 下降 . 理论 分析 认为 是因为 绿磺隆 与 尿素 先 形成 结合态 形式 , 使 可 测定 绿磺隆 浓度 迅速 下降 , 然后 在 微生物 等 原因 的 作用 下 又 逐渐 破坏 其 结合 , 使 绿磺隆 又 释放出来 ; 高浓度 组 形成 的 结合态 浓度 相对 较 低 , 不足以 显现 下 凹 趋势 , 只 表现 出 降解 曲线 平缓 . 尿素 与 绿磺隆 形成 类似 "" 化学 炸弹 "" 的 结合态 形式 , 可能 对后 茬 作物 造成危害 , 应 引起 高度重视 .",绿磺隆_降解_尿素
